neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
Buitenveldert - Zuidas;5.233.558;486.878;Entire home/apt;125;3;26;0;6
Centrum-Oost;5.237.079;490.153;Entire home/apt;108;3;109;0;6
Zuid;5.234.904;486.765;Private room;75;4;378;211;9
De Baarsjes - Oud-West;523.676;485.976;Entire home/apt;150;3;10;0;0
Centrum-Oost;5.236.112;489.462;Entire home/apt;245;5;18;9;1
Westerpark;5.239.144;488.436;Private room;125;2;521;17;52
Slotervaart;5.236.022;484.346;Entire home/apt;163;5;11;132;1
Oud-Noord;5.239.442;491.478;Entire home/apt;170;5;20;0;0
Centrum-Oost;5.236.918;491.316;Entire home/apt;360;3;223;230;40
De Baarsjes - Oud-West;5.236.809;485.436;Entire home/apt;140;4;43;7;3
Zuid;5.234.788;48.506;Entire home/apt;380;2;17;0;6
Westerpark;5.237.621;487.075;Private room;177;1;368;334;72
Centrum-West;52.381.996;4.888.583;Private room;120;1;738;50;103
Noord-Oost;5.241.016;496.369;Private room;87;2;399;269;25
IJburg - Zeeburgereiland;5.236.368;49.794;Private room;87;1;290;238;11
De Baarsjes - Oud-West;5.236.247;486.534;Entire home/apt;450;3;25;0;5
Centrum-West;52.381.996;4.888.583;Private room;128;1;478;51;83
Zuid;5.235.094;488.552;Entire home/apt;100;7;14;0;0
Westerpark;5.238.388;486.562;Entire home/apt;109;14;148;48;4
Buitenveldert - Zuidas;5.232.237;486.024;Entire home/apt;240;6;18;0;2
De Baarsjes - Oud-West;5.236.976;487.374;Entire home/apt;250;3;29;55;0
Centrum-West;5.237.167;48.948;Hotel room;113;1;754;88;65
Centrum-West;5.237.098;489.434;Hotel room;125;1;656;95;69
De Baarsjes - Oud-West;5.236.188;487.694;Private room;189;3;117;37;6
Watergraafsmeer;523.551;493.262;Entire home/apt;275;28;40;31;3
Oud-Noord;5.238.537;490.241;Entire home/apt;87;30;63;297;0
Noord-West;5.241.878;489.397;Entire home/apt;146;5;23;337;7
Centrum-Oost;5.236.716;490.462;Entire home/apt;571;2;56;0;5
De Pijp - Rivierenbuurt;5.234.557;48.962;Private room;81;1;530;80;84
Geuzenveld - Slotermeer;5.238.296;483.786;Private room;73;4;331;318;32
Centrum-Oost;523.737;492.581;Entire home/apt;120;14;88;65;4
Centrum-West;52.374;489.902;Private room;188;2;483;309;51
De Baarsjes - Oud-West;5.235.925;48.514;Entire home/apt;95;1;11;37;0
De Baarsjes - Oud-West;5.236.706;486.465;Entire home/apt;149;3;57;0;4
Westerpark;5.238.384;487.303;Entire home/apt;136;2;25;77;0
Bos en Lommer;5.237.449;484.762;Entire home/apt;240;5;85;0;0
Zuid;5.235.315;487.256;Entire home/apt;112;3;283;27;24
De Pijp - Rivierenbuurt;5.235.537;489.477;Private room;150;3;201;22;15
Oud-Oost;5.235.673;490.778;Private room;96;1;366;104;134
De Baarsjes - Oud-West;5.236.462;486.824;Entire home/apt;120;2;153;1;2
Centrum-West;5.238.284;489.007;Entire home/apt;160;2;87;251;2
Westerpark;5.237.752;487.086;Private room;79;2;199;246;15
Centrum-Oost;5.236.112;489.632;Entire home/apt;303;3;129;0;10
De Pijp - Rivierenbuurt;5.235.344;48.954;Entire home/apt;290;1;63;247;10
Centrum-Oost;5.236.052;489.568;Private room;135;3;108;37;21
Westerpark;523.731;486.859;Private room;85;3;384;288;29
Centrum-Oost;5.237.098;49.227;Entire home/apt;168;5;12;0;2
Centrum-Oost;5.236.256;49.108;Private room;99;3;77;0;0
Westerpark;5.237.654;487.003;Entire home/apt;495;2;46;204;5
Centrum-Oost;5.236.866;492.071;Entire home/apt;664;2;113;298;0
Oud-Oost;5.235.659;490.827;Private room;111;1;166;214;34
Centrum-West;5.238.295;488.726;Entire home/apt;136;3;82;0;2
De Baarsjes - Oud-West;5.236.131;48.519;Private room;60;2;40;37;0
De Pijp - Rivierenbuurt;5.234.829;491.047;Entire home/apt;165;3;73;4;3
Centrum-Oost;5.237.266;490.456;Entire home/apt;250;4;325;105;48
De Baarsjes - Oud-West;5.237.066;487.405;Private room;135;2;208;187;45
De Baarsjes - Oud-West;5.236.827;487.107;Entire home/apt;100;6;39;0;0
Centrum-West;5.236.754;488.733;Entire home/apt;325;3;106;0;0
De Baarsjes - Oud-West;5.236.115;485.209;Entire home/apt;225;2;10;9;1
Centrum-West;5.236.652;487.854;Entire home/apt;180;6;42;0;0
Noord-Oost;5.240.164;495.106;Private room;59;3;278;294;22
Westerpark;5.238.855;488.521;Entire home/apt;214;2;72;8;8
Westerpark;5.237.824;486.826;Private room;110;2;298;107;33
Zuid;5.234.091;484.802;Entire home/apt;250;3;10;0;0
Centrum-West;5.237.641;488.303;Private room;125;1;585;111;94
Slotervaart;5.234.985;483.578;Private room;69;2;212;320;23
Centrum-Oost;5.237.026;489.931;Private room;135;3;416;298;2
Zuid;5.235.548;487.278;Entire home/apt;122;3;267;32;25
De Baarsjes - Oud-West;5.235.982;485.635;Entire home/apt;110;3;2;0;0
Centrum-Oost;5.236.855;490.766;Entire home/apt;266;2;32;4;3
Centrum-West;5.237.142;489.036;Entire home/apt;399;2;57;0;9
Centrum-Oost;5.236.856;489.896;Entire home/apt;200;2;883;59;79
Centrum-Oost;52.371.246.337.890.600;4.902.864.933.013.910;Private room;181;1;335;264;23
De Baarsjes - Oud-West;5.236.884;486.127;Entire home/apt;150;4;18;70;0
De Pijp - Rivierenbuurt;5.235.205;490.267;Entire home/apt;160;3;95;4;9
Centrum-Oost;5.236.476;490.925;Private room;134;1;1022;201;156
De Pijp - Rivierenbuurt;5.234.725;489.341;Entire home/apt;420;4;16;0;2
Zuid;5.235.323;485.421;Entire home/apt;200;6;62;0;1
Centrum-West;523.767;48.919;Private room;193;2;331;164;65
Centrum-Oost;5.236.123;489.619;Entire home/apt;122;7;15;159;2
Centrum-Oost;5.237.272;490.418;Private room;125;3;314;119;14
Centrum-Oost;5.236.899;491.607;Entire home/apt;180;4;16;12;1
De Baarsjes - Oud-West;523.607;485.991;Entire home/apt;150;4;51;24;5
Zuid;5.234.025;48.466;Entire home/apt;167;1;827;174;95
De Pijp - Rivierenbuurt;5.235.327;488.703;Entire home/apt;800;30;70;0;0
De Baarsjes - Oud-West;5.237.262;487.342;Entire home/apt;340;7;352;56;22
Centrum-West;5.238.139;488.541;Entire home/apt;180;93;80;262;0
Zuid;5.235.584;487.401;Private room;147;2;152;237;43
Centrum-Oost;52.361.362;4.890.488;Private room;157;2;57;202;6
Noord-West;5.242.379;488.851;Private room;99;2;331;298;2
Oud-Oost;5.235.894;491.171;Entire home/apt;359;4;32;236;4
Centrum-Oost;5.236.049;488.982;Private room;184;2;50;210;6
De Pijp - Rivierenbuurt;523.418;491.066;Private room;100;5;547;261;30
De Aker - Nieuw Sloten;52.343.079;4.788.886;Private room;137;2;478;239;37
Noord-Oost;5.238.462;501.234;Entire home/apt;100;3;47;144;7
Zuid;5.235.637;485.373;Entire home/apt;350;2;44;192;11
Westerpark;5.238.875;487.835;Entire home/apt;144;5;33;0;0
Westerpark;5.237.342;48.693;Entire home/apt;300;3;33;211;11
De Baarsjes - Oud-West;5.236.897;485.561;Entire home/apt;121;3;85;8;3
Buitenveldert - Zuidas;5.233.229;487.431;Private room;69;2;349;311;25
Centrum-West;52.379;487.909;Entire home/apt;210;4;68;73;9
Noord-West;5.240.666;490.344;Entire home/apt;245;2;59;217;1
Westerpark;5.238.772;488.147;Entire home/apt;125;2;0;0;0
Zuid;5.235.864;487.632;Entire home/apt;399;4;61;0;4
Watergraafsmeer;5.235.448;493.366;Entire home/apt;125;2;133;309;25
Zuid;523.395;484.898;Entire home/apt;142;2;329;172;34
De Baarsjes - Oud-West;523.709;485.301;Entire home/apt;130;3;82;64;10
IJburg - Zeeburgereiland;52.356.197;4.991.435;Private room;229;3;58;51;32
Oud-Noord;524.016;489.785;Private room;514;2;133;0;4
De Baarsjes - Oud-West;523.624;486.575;Entire home/apt;195;3;80;0;9
Westerpark;5.237.991;487.414;Private room;98;3;383;222;30
Osdorp;5.235.595;479.661;Private room;85;2;207;299;23
Watergraafsmeer;5.235.149;492.265;Entire home/apt;140;3;51;49;8
Bijlmer-Centrum;5.232.019;495.501;Private room;72;3;32;161;27
Bijlmer-Centrum;5.232.019;495.501;Private room;78;3;125;119;23
IJburg - Zeeburgereiland;5.236.073;498.005;Entire home/apt;300;3;27;213;2
Centrum-West;5.236.561;488.492;Private room;110;3;420;7;56
De Pijp - Rivierenbuurt;5.235.531;490.333;Entire home/apt;355;5;31;190;8
Zuid;5.234.176;484.782;Private room;95;2;185;315;20
Zuid;5.235.049;484.686;Private room;81;2;73;1;40
De Baarsjes - Oud-West;5.237.225;486.262;Private room;31;28;261;0;6
Oostelijk Havengebied - Indische Buurt;52.37;495.127;Entire home/apt;145;5;11;3;4
Centrum-Oost;5.237.042;491.535;Entire home/apt;150;6;33;0;1
