neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
De Pijp - Rivierenbuurt;5.235.669;490.246;Entire home/apt;201;1;45;0;0
De Baarsjes - Oud-West;5.236.831;485.443;Entire home/apt;76;3;18;0;0
Noord-Oost;5.238.741;495.725;Entire home/apt;94;3;6;0;0
Noord-Oost;5.240.611;493.303;Private room;96;1;86;0;0
Oostelijk Havengebied - Indische Buurt;52.374.493;4.948.655;Private room;125;2;53;292;15
Watergraafsmeer;5.234.012;491.929;Private room;150;2;89;0;0
Westerpark;523.891;48.905;Entire home/apt;102;3;191;126;51
Slotervaart;5.235.594;4.844;Entire home/apt;146;7;3;95;1
Centrum-West;5.238.376;489.005;Entire home/apt;133;2;43;135;9
Centrum-West;523.855;4.888;Entire home/apt;133;2;74;114;21
Centrum-West;5.237.028;489.022;Private room;327;2;120;65;18
De Baarsjes - Oud-West;5.236.161;486.998;Entire home/apt;275;3;4;0;0
Centrum-West;5.237.994;488.759;Entire home/apt;499;3;58;206;7
Oostelijk Havengebied - Indische Buurt;5.236.446;493.719;Private room;109;3;172;19;4
Westerpark;5.238.066;487.215;Entire home/apt;229;4;32;0;2
Slotervaart;5.236.537;482.862;Entire home/apt;111;3;217;325;32
Oostelijk Havengebied - Indische Buurt;5.237.648;494.021;Private room;95;2;256;8;45
De Baarsjes - Oud-West;5.236.839;485.363;Entire home/apt;96;2;20;0;0
De Pijp - Rivierenbuurt;5.235.244;489.095;Entire home/apt;500;6;25;16;1
De Baarsjes - Oud-West;5.236.412;486.165;Entire home/apt;200;2;43;19;5
IJburg - Zeeburgereiland;5.235.537;499.057;Entire home/apt;314;7;11;13;0
Centrum-West;523.729;489.869;Private room;100;4;137;222;16
Centrum-Oost;5.236.161;489.083;Private room;130;5;87;32;13
Bos en Lommer;5.238.219;484.777;Entire home/apt;99;2;9;0;0
Centrum-West;52.380.138;4.887.468;Entire home/apt;210;2;53;0;0
De Pijp - Rivierenbuurt;5.234.245;490.099;Entire home/apt;100;1;44;7;9
Oud-Noord;5.238.535;491.641;Private room;83;1;264;44;55
De Baarsjes - Oud-West;5.236.608;48.764;Entire home/apt;208;1;256;121;66
Centrum-West;5.238.265;489.196;Entire home/apt;364;1;77;99;10
De Baarsjes - Oud-West;5.236.472;487.417;Entire home/apt;189;3;35;0;7
Oostelijk Havengebied - Indische Buurt;5.237.165;493.705;Entire home/apt;332;4;17;296;0
Bos en Lommer;523.807;485.693;Entire home/apt;80;2;52;0;8
Westerpark;5.238.724;488.051;Entire home/apt;250;3;56;16;10
Zuid;5.235.297;486.058;Entire home/apt;221;2;17;0;2
De Pijp - Rivierenbuurt;5.235.734;489.731;Private room;260;1;172;148;53
De Pijp - Rivierenbuurt;5.235.449;48.919;Entire home/apt;800;4;22;252;3
Oud-Oost;5.235.687;491.875;Entire home/apt;110;20;12;0;0
De Pijp - Rivierenbuurt;5.233.335;489.973;Private room;189;3;160;58;27
Centrum-West;5.237.367;490.027;Private room;378;2;236;141;38
Oud-Oost;523.575;491.379;Entire home/apt;170;2;42;0;0
De Pijp - Rivierenbuurt;5.235.257;490.049;Entire home/apt;248;7;4;0;0
Centrum-Oost;5.237.328;49.026;Private room;100;4;104;246;11
De Pijp - Rivierenbuurt;5.235.412;489.504;Private room;81;1;350;119;47
Centrum-Oost;5.237.145;490.164;Entire home/apt;1490;2;25;249;7
Centrum-West;523.827;488.348;Entire home/apt;150;2;41;0;0
De Pijp - Rivierenbuurt;5.235.177;488.864;Entire home/apt;194;3;33;0;11
Bos en Lommer;5.237.634;486.033;Entire home/apt;300;3;32;39;0
Oud-Oost;5.236.597;492.716;Entire home/apt;175;1;67;0;8
Oostelijk Havengebied - Indische Buurt;5.236.428;493.597;Entire home/apt;141;4;31;27;5
Watergraafsmeer;5.234.332;492.333;Entire home/apt;439;2;37;2;7
Oud-Noord;524.013;490.201;Private room;104;2;97;22;19
Centrum-West;5.237.932;487.903;Entire home/apt;350;2;35;3;6
Noord-Oost;5.238.891;495.377;Entire home/apt;270;4;19;0;1
Centrum-Oost;5.236.849;49.149;Entire home/apt;130;5;17;0;1
Centrum-West;5.236.578;488.349;Entire home/apt;360;2;25;71;15
Centrum-West;5.237.456;489.188;Private room;205;2;173;11;19
De Baarsjes - Oud-West;5.236.707;48.726;Entire home/apt;320;2;24;70;10
Oud-Noord;5.238.981;494.945;Entire home/apt;130;2;28;0;0
Oud-Oost;5.236.262;493.145;Entire home/apt;95;7;10;0;0
Centrum-Oost;523.666;493.003;Entire home/apt;179;3;22;0;0
Centrum-West;5.237.003;48.779;Private room;90;4;219;0;21
Slotervaart;5.234.927;483.232;Entire home/apt;449;4;37;345;3
Geuzenveld - Slotermeer;5.237.466;483.443;Private room;67;1;193;79;26
Watergraafsmeer;5.235.083;492.117;Entire home/apt;213;3;11;18;7
Westerpark;5.237.334;487.243;Entire home/apt;110;2;4;0;0
Westerpark;5.239.112;488.785;Private room;116;2;341;178;60
Centrum-West;5.237.249;489.244;Entire home/apt;500;2;29;288;14
Westerpark;52.394;487.882;Entire home/apt;74;3;47;0;5
De Pijp - Rivierenbuurt;5.235.564;488.898;Entire home/apt;185;1;0;0;0
IJburg - Zeeburgereiland;5.235.666;499.979;Entire home/apt;186;3;19;0;1
Zuid;5.235.128;485.429;Entire home/apt;225;14;27;82;1
Centrum-West;5.237.327;488.363;Private room;110;2;165;3;26
Slotervaart;5.236.497;482.948;Entire home/apt;175;3;19;0;0
Zuid;5.234.835;488.619;Entire home/apt;120;4;10;0;1
Zuid;5.235.472;485.072;Entire home/apt;260;2;47;119;6
De Baarsjes - Oud-West;5.235.795;485.598;Entire home/apt;142;3;6;0;0
Zuid;5.234.763;486.774;Entire home/apt;400;3;48;121;10
De Baarsjes - Oud-West;523.733;485.328;Entire home/apt;135;5;14;0;1
De Pijp - Rivierenbuurt;5.235.076;488.956;Entire home/apt;235;2;82;0;11
Centrum-West;5.237.819;489.259;Entire home/apt;150;2;5;0;0
Centrum-West;5.238.091;488.837;Entire home/apt;218;3;365;233;80
Centrum-West;5.237.928;489.041;Entire home/apt;196;3;316;158;71
Centrum-West;5.238.105;488.765;Private room;144;3;195;47;3
De Baarsjes - Oud-West;5.237.333;486.027;Entire home/apt;239;4;31;0;6
De Pijp - Rivierenbuurt;5.235.471;489.586;Private room;82;6;48;9;15
Osdorp;523.578;478.678;Entire home/apt;78;2;30;0;2
IJburg - Zeeburgereiland;5.234.833;500.428;Entire home/apt;95;2;40;0;4
Zuid;5.234.966;484.726;Entire home/apt;200;3;28;62;2
De Baarsjes - Oud-West;5.236.768;486.227;Private room;105;1;382;8;84
Zuid;5.235.348;485.633;Entire home/apt;387;3;17;0;2
De Baarsjes - Oud-West;52.375;486.429;Entire home/apt;196;3;21;0;1
De Baarsjes - Oud-West;5.237.101;486.478;Entire home/apt;109;4;7;0;0
IJburg - Zeeburgereiland;5.236.045;498.039;Private room;86;1;50;249;0
Bos en Lommer;5.238.502;485.134;Entire home/apt;95;3;9;0;0
Oud-Noord;5.239.591;49.098;Entire home/apt;496;3;194;306;52
Zuid;5.235.896;48.701;Entire home/apt;199;3;410;147;64
Oud-Noord;5.239.314;492.747;Entire home/apt;125;6;26;6;2
Geuzenveld - Slotermeer;5.237.684;482.377;Private room;92;2;58;48;7
Westerpark;5.238.366;487.186;Entire home/apt;200;1;36;0;8
Westerpark;5.237.898;487.498;Entire home/apt;174;4;7;0;0
De Baarsjes - Oud-West;5.237.097;486.182;Private room;85;3;60;0;8
Centrum-Oost;5.236.759;489.894;Entire home/apt;525;2;58;2;11
Oud-Oost;5.235.601;491.086;Entire home/apt;183;2;19;24;4
Oostelijk Havengebied - Indische Buurt;5.236.459;493.512;Entire home/apt;180;4;1;333;0
Noord-West;5.241.717;489.798;Private room;62;1;162;13;36
Bijlmer-Oost;5.232.158;498.743;Private room;42;2;18;63;0
Geuzenveld - Slotermeer;5.237.186;481.754;Private room;112;2;0;0;0
Centrum-Oost;5.237.186;490.793;Entire home/apt;175;5;31;76;6
Centrum-Oost;523.628;490.854;Entire home/apt;264;3;65;5;7
Centrum-Oost;5.236.277;488.854;Private room;126;2;77;118;16
De Pijp - Rivierenbuurt;5.235.198;489.488;Entire home/apt;280;2;39;310;11
Watergraafsmeer;5.234.699;491.347;Entire home/apt;350;4;38;50;4
Centrum-West;5.237.534;488.118;Entire home/apt;243;2;27;20;13
Westerpark;5.238.423;487.159;Entire home/apt;106;2;8;0;0
De Baarsjes - Oud-West;5.236.745;487.642;Private room;120;4;135;86;32
Noord-West;5.240.667;490.481;Entire home/apt;139;4;22;0;2
De Baarsjes - Oud-West;5.236.096;487.733;Entire home/apt;250;3;23;0;0
Centrum-West;5.238.234;488.296;Entire home/apt;249;2;43;0;9
De Baarsjes - Oud-West;5.236.814;486.646;Entire home/apt;211;2;39;4;3
De Baarsjes - Oud-West;5.236.851;486.278;Entire home/apt;119;3;10;0;0
Westerpark;5.238.307;488.036;Private room;111;3;129;0;1
De Baarsjes - Oud-West;523.605;486.495;Entire home/apt;200;5;34;35;5
Noord-West;5.241.079;489.465;Private room;89;2;78;160;12
Oud-Oost;5.235.647;491.453;Entire home/apt;250;2;31;0;0
De Pijp - Rivierenbuurt;5.235.828;490.187;Entire home/apt;170;3;263;115;48
De Baarsjes - Oud-West;523.612;487.751;Private room;305;2;399;102;86
De Baarsjes - Oud-West;5.236.307;486.217;Entire home/apt;250;3;21;0;1
De Baarsjes - Oud-West;523.686;487.465;Entire home/apt;358;2;27;31;8
De Baarsjes - Oud-West;5.235.723;485.696;Private room;61;3;201;0;0
Westerpark;5.238.414;487.603;Entire home/apt;100;3;37;0;0
Centrum-West;5.237.972;488.069;Entire home/apt;693;3;27;21;5
De Pijp - Rivierenbuurt;5.234.156;490.765;Entire home/apt;200;2;22;64;9
Osdorp;5.234.965;479.548;Entire home/apt;350;2;18;346;1
Centrum-West;5.236.804;489.098;Private room;190;2;3;6;2
Oostelijk Havengebied - Indische Buurt;5.237.182;494.153;Entire home/apt;150;3;36;0;5
Centrum-Oost;5.236.482;489.726;Entire home/apt;269;2;67;13;1
De Baarsjes - Oud-West;5.236.455;487.381;Entire home/apt;198;4;32;65;15
Westerpark;5.239.147;488.794;Entire home/apt;69;2;35;0;0
De Pijp - Rivierenbuurt;5.235.104;490.813;Entire home/apt;95;3;34;0;0
Westerpark;5.237.546;487.656;Private room;285;5;104;299;22
Centrum-West;5.238.001;488.587;Private room;110;6;94;5;27
Bos en Lommer;5.237.587;483.867;Private room;129;1;148;347;41
Centrum-Oost;5.236.468;488.678;Private room;71;1;230;0;6
Zuid;5.234.282;484.821;Private room;172;2;52;44;13
Centrum-West;5.236.968;48.917;Private room;139;1;237;143;48
Centrum-West;5.237.065;489.467;Private room;124;1;223;144;46
De Pijp - Rivierenbuurt;5.235.378;488.702;Entire home/apt;250;4;40;230;9
Oud-Oost;5.234.959;491.402;Entire home/apt;125;2;57;0;9
Oud-Oost;5.236.486;49.252;Entire home/apt;149;5;22;0;0
Oostelijk Havengebied - Indische Buurt;5.236.379;494.369;Entire home/apt;200;4;25;23;0
IJburg - Zeeburgereiland;5.236.057;49.909;Private room;75;2;74;0;20
Centrum-West;5.236.883;489.309;Private room;186;3;19;333;8
Centrum-West;5.236.831;489.463;Private room;187;3;35;342;3
De Pijp - Rivierenbuurt;5.234.310.217.468.800;49.092.309.146.666.600;Entire home/apt;277;1;4;65;4
Zuid;5.235.963;486.931;Entire home/apt;109;3;324;181;53
Zuid;5.235.332;485.664;Entire home/apt;225;12;22;82;2
De Baarsjes - Oud-West;5.236.641;485.167;Entire home/apt;149;3;0;0;0
De Baarsjes - Oud-West;5.236.066;487.167;Entire home/apt;215;2;37;0;0
Westerpark;5.238.122;487.973;Private room;88;3;123;117;24
Centrum-West;5.238.101;487.982;Private room;143;3;162;97;61
Centrum-West;5.238.351;488.487;Entire home/apt;229;4;64;90;9
Zuid;5.234.508;486.093;Entire home/apt;230;5;14;8;0
Centrum-West;5.238.011;489.189;Private room;226;1;88;88;3
Centrum-West;5.238.005;48.919;Entire home/apt;215;1;254;117;68
Oud-Noord;5.239.306;493.641;Entire home/apt;210;5;26;0;1
Watergraafsmeer;5.235.508;494.035;Entire home/apt;190;3;28;0;0
Zuid;5.235.416;487.901;Entire home/apt;260;4;7;0;0
Bos en Lommer;5.237.677;486.097;Entire home/apt;309;5;36;0;6
Zuid;5.235.079;485.324;Entire home/apt;150;1;22;0;0
Bijlmer-Centrum;5.231.562;495.312;Entire home/apt;110;3;203;9;24
Bos en Lommer;5.237.756;48.496;Entire home/apt;175;1;40;0;8
De Baarsjes - Oud-West;5.236.599;487.632;Entire home/apt;386;2;24;129;6
Westerpark;5.237.779;487.329;Entire home/apt;90;2;18;0;7
Oostelijk Havengebied - Indische Buurt;5.237.597;494.647;Private room;249;2;76;253;14
Westerpark;523.832;487.006;Entire home/apt;93;3;29;0;0
Zuid;5.235.564;486.494;Private room;164;1;32;7;17
Oud-Noord;5.239.363;491.097;Entire home/apt;467;2;189;242;41
De Baarsjes - Oud-West;5.236.851;487.315;Entire home/apt;136;3;8;104;2
De Pijp - Rivierenbuurt;5.235.182;489.662;Private room;171;1;115;119;8
Centrum-West;5.237.903;488.377;Private room;149;2;105;116;12
De Baarsjes - Oud-West;5.236.873;485.616;Private room;104;1;267;95;60
De Pijp - Rivierenbuurt;5.235.448;488.959;Entire home/apt;120;3;229;26;50
De Pijp - Rivierenbuurt;5.235.199;490.477;Private room;145;2;287;290;44
Noord-Oost;5.240.627;493.407;Private room;120;1;8;149;1
Noord-West;5.240.872;490.547;Entire home/apt;200;4;71;9;12
Oud-Oost;5.235.537;49.075;Entire home/apt;75;3;38;0;0
De Baarsjes - Oud-West;5.236.053;486.473;Entire home/apt;340;3;34;58;0
De Baarsjes - Oud-West;5.236.747;485.006;Entire home/apt;136;2;49;0;11
De Baarsjes - Oud-West;5.236.326;485.601;Entire home/apt;130;3;14;0;0
Bos en Lommer;5.237.933;484.745;Private room;39;1;12;0;0
De Baarsjes - Oud-West;5.237.118;484.928;Private room;92;3;170;56;37
Bos en Lommer;5.237.962;484.779;Entire home/apt;131;5;25;3;5
Noord-Oost;5.239.527;499.237;Private room;103;2;86;316;7
Oud-Oost;5.235.042;491.603;Entire home/apt;185;4;41;0;6
De Baarsjes - Oud-West;5.237.306;485.088;Entire home/apt;135;3;26;0;5
Westerpark;5.238.865;488.074;Entire home/apt;220;5;37;0;7
De Baarsjes - Oud-West;5.235.934;484.995;Private room;85;2;4;0;0
Oostelijk Havengebied - Indische Buurt;523.777;494.521;Entire home/apt;289;1;44;0;0
De Baarsjes - Oud-West;5.236.553;487.133;Entire home/apt;224;3;46;302;7
Centrum-West;523.788;488.539;Entire home/apt;300;3;30;0;9
Westerpark;5.238.989;488.278;Entire home/apt;179;3;13;0;0
Centrum-Oost;5.237.375;490.227;Private room;95;3;75;0;0
Oud-Oost;5.235.355;491.367;Entire home/apt;240;3;28;0;6
De Baarsjes - Oud-West;5.236.615;487.549;Entire home/apt;184;3;12;1;0
De Pijp - Rivierenbuurt;5.235.011;489.958;Entire home/apt;186;1;52;0;8
Centrum-West;5.237.764;488.144;Entire home/apt;295;3;42;219;6
Westerpark;5.238.579;487.923;Entire home/apt;225;3;14;0;0
Centrum-West;5.237.426;489.926;Private room;136;1;152;330;19
Oud-Oost;5.235.868;491.359;Entire home/apt;159;2;60;0;9
Slotervaart;5.236.177;482.744;Entire home/apt;100;5;9;0;4
De Pijp - Rivierenbuurt;523.464;489.778;Entire home/apt;200;2;25;0;3
Centrum-Oost;5.237.242;492.064;Private room;85;1;165;0;35
Oostelijk Havengebied - Indische Buurt;5.236.242;493.798;Entire home/apt;128;2;38;0;0
IJburg - Zeeburgereiland;5.235.820.523.924.150;4.995.567.487.097.370;Entire home/apt;275;3;12;40;1
Oud-Oost;5.235.843;491.181;Entire home/apt;99;6;36;0;0
Bos en Lommer;5.237.696;485.515;Entire home/apt;279;3;37;64;8
Noord-Oost;5.240.303;493.719;Entire home/apt;140;3;26;0;0
De Baarsjes - Oud-West;5.235.979;485.529;Entire home/apt;200;3;43;4;10
De Pijp - Rivierenbuurt;5.235.213;48.898;Entire home/apt;155;2;8;64;1
De Pijp - Rivierenbuurt;5.235.645;489.497;Entire home/apt;291;4;24;7;6
Centrum-Oost;523.726;490.846;Entire home/apt;130;2;78;0;26
De Baarsjes - Oud-West;523.681;486.398;Private room;110;4;117;198;0
Slotervaart;5.235.455;483.188;Entire home/apt;156;2;19;0;2
De Baarsjes - Oud-West;5.236.117;48.616;Entire home/apt;130;4;19;0;1
Oud-Noord;5.239.406;492.676;Private room;69;2;235;36;41
De Baarsjes - Oud-West;5.236.944;486.961;Entire home/apt;145;3;32;0;1
De Baarsjes - Oud-West;523.675;486.676;Private room;110;1;0;0;0
Centrum-Oost;5.236.044;489.438;Private room;261;2;239;321;47
Oud-Noord;523.989;49.164;Entire home/apt;140;2;36;2;10
Centrum-Oost;5.236.978;492.169;Private room;124;2;7;0;0
De Baarsjes - Oud-West;5.236.791;487.181;Private room;100;1;221;1;0
De Baarsjes - Oud-West;5.236.927;484.917;Entire home/apt;110;2;4;0;0
Buitenveldert - Zuidas;5.233.513;487.134;Entire home/apt;95;2;8;0;0
Centrum-Oost;5.236.229;489.544;Entire home/apt;615;2;62;0;0
Centrum-West;5.238.119;488.845;Entire home/apt;160;3;91;132;1
IJburg - Zeeburgereiland;5.236.501;498.203;Private room;85;2;89;9;12
Westerpark;5.238.684;488.304;Private room;96;2;307;311;52
Westerpark;5.237.656;487.394;Entire home/apt;210;2;19;0;0
Centrum-West;5.238.374;488.524;Entire home/apt;303;3;36;0;9
Oud-Noord;5.239.712;490.749;Entire home/apt;125;5;13;0;2
Geuzenveld - Slotermeer;52.374.886;4.821.786;Entire home/apt;150;7;8;9;1
Noord-Oost;5.240.635;499.133;Private room;79;2;25;192;4
Bos en Lommer;5.237.677;485.017;Entire home/apt;110;2;49;0;0
De Baarsjes - Oud-West;523.593;485.298;Entire home/apt;115;2;30;25;3
De Pijp - Rivierenbuurt;5.235.496;489.182;Entire home/apt;150;4;19;0;3
De Aker - Nieuw Sloten;5.234.668;48.071;Private room;421;1;6;239;1
De Aker - Nieuw Sloten;5.234.865;480.829;Private room;999;2;2;0;0
Oud-Oost;5.235.861;492.072;Entire home/apt;185;2;16;0;0
Centrum-West;5.237.815;488.604;Entire home/apt;300;4;22;0;0
Westerpark;5.238.944;488.201;Private room;68;1;11;0;0
Centrum-Oost;52.364;489.746;Entire home/apt;360;2;24;0;9
De Baarsjes - Oud-West;5.236.666;486.571;Entire home/apt;104;4;27;0;0
Bos en Lommer;5.237.517;484.677;Entire home/apt;170;3;22;0;7
De Baarsjes - Oud-West;5.236.464;487.741;Private room;68;2;366;131;78
Oud-Noord;5.238.589;491.001;Private room;110;1;82;266;16
Oud-Noord;5.238.766;491.023;Private room;95;1;79;192;4
Zuid;5.235.274;48.787;Private room;115;2;298;101;58
Oud-Noord;5.238.553;490.932;Private room;100;1;55;256;8
De Baarsjes - Oud-West;5.236.258;487.522;Entire home/apt;195;3;58;1;11
De Baarsjes - Oud-West;5.236.479;487.741;Private room;110;2;412;171;87
De Baarsjes - Oud-West;5.236.804;487.644;Private room;310;2;41;153;22
;;;;;;;;
Centrum-West;5.237.062;488.043;Private room;234;3;137;33;12
De Pijp - Rivierenbuurt;523.569;488.915;Entire home/apt;214;7;34;121;15
Centrum-Oost;5.236.469;490.817;Entire home/apt;375;2;52;76;9
Centrum-Oost;5.236.155;489.603;Entire home/apt;225;14;23;74;0
De Pijp - Rivierenbuurt;5.235.154;489.123;Entire home/apt;300;2;22;61;4
IJburg - Zeeburgereiland;52.361;498.202;Private room;71;2;217;12;38
Westerpark;5.238.318;487.295;Entire home/apt;147;2;17;0;0
Centrum-West;52.381.691;4.879.816;Private room;125;1;193;211;58
Centrum-West;5.237.973;489.378;Entire home/apt;225;3;41;45;12
Oud-Noord;5.238.474;490.903;Entire home/apt;300;5;21;0;2
IJburg - Zeeburgereiland;5.234.923;500.622;Entire home/apt;300;4;10;8;0
Noord-West;5.242.395;488.681;Hotel room;171;2;10;242;3
Centrum-Oost;5.236.627;489.727;Entire home/apt;230;2;114;244;33
Oud-Oost;5.235.645;490.875;Private room;100;2;6;249;1
Bijlmer-Centrum;523.185;495.418;Private room;100;2;51;0;8
Westerpark;5.237.654;487.555;Entire home/apt;125;5;11;0;0
De Baarsjes - Oud-West;5.237.209;48.536;Entire home/apt;140;3;10;0;0
Watergraafsmeer;5.235.306.744.099.900;4.926.065.367.566.270;Entire home/apt;200;2;0;2;0
Centrum-Oost;5.236.547;488.371;Entire home/apt;309;3;40;22;9
Zuid;523.567;485.639;Private room;79;2;173;0;5
De Baarsjes - Oud-West;5.236.969;486.052;Entire home/apt;500;1000;38;19;7
Watergraafsmeer;5.235.224;492.836;Entire home/apt;300;4;20;42;0
Bijlmer-Centrum;5.231.308;495.062;Entire home/apt;45;2;3;0;0
Centrum-Oost;5.236.099;489.486;Entire home/apt;370;3;44;65;12
Buitenveldert - Zuidas;5.233.797;486.804;Entire home/apt;166;20;20;122;5
Zuid;523.531;48.465;Entire home/apt;115;1;412;152;113
Gaasperdam - Driemond;522.975;499.169;Private room;60;1;99;7;35
Oud-Oost;5.235.291;491.482;Entire home/apt;150;4;28;82;2
Centrum-West;5.237.799;488.499;Private room;110;3;260;51;48
De Baarsjes - Oud-West;5.236.626;48.658;Private room;151;2;184;60;24
Westerpark;5.238.479;487.723;Entire home/apt;350;4;35;136;0
IJburg - Zeeburgereiland;5.235.565;499.339;Private room;141;2;133;87;35
Centrum-West;5.237.335;48.826;Entire home/apt;450;1;18;0;0
IJburg - Zeeburgereiland;5.235.678;499.811;Entire home/apt;276;2;52;37;14
Bijlmer-Centrum;5.232.137;494.786;Entire home/apt;262;3;12;157;4
Centrum-West;5.237.236;489.268;Entire home/apt;215;3;16;0;0
De Pijp - Rivierenbuurt;5.235.503;489.936;Entire home/apt;164;3;239;30;58
Centrum-Oost;5.237.003;489.923;Private room;140;1;426;137;72
Westerpark;5.239.565;487.874;Entire home/apt;250;4;13;0;0
Osdorp;523.572;478.946;Private room;100;1;29;276;13
Zuid;5.234.649;48.608;Private room;106;4;155;12;20
Centrum-West;52.381.031;4.886.838;Private room;189;3;10;56;10
Centrum-Oost;523.621;490.528;Entire home/apt;492;3;22;0;4
Centrum-West;5.237.012;48.806;Private room;406;2;134;218;22
De Baarsjes - Oud-West;5.237.145;485.239;Entire home/apt;85;2;9;0;2
Oud-Oost;5.235.227;491.636;Entire home/apt;150;3;21;0;0
Geuzenveld - Slotermeer;5.238.389;48.352;Shared room;75;2;27;270;3
Centrum-West;5.237.916;489.514;Private room;300;3;237;74;59
Centrum-Oost;5.237.279;490.634;Private room;180;3;58;0;26
;;;;;;;;
De Pijp - Rivierenbuurt;5.235.011;490.639;Private room;75;2;191;311;49
De Pijp - Rivierenbuurt;5.234.048;490.743;Entire home/apt;123;3;25;0;4
De Baarsjes - Oud-West;5.235.871;48.619;Entire home/apt;96;4;1;0;0
De Aker - Nieuw Sloten;5.234.776;477.631;Entire home/apt;245;5;3;0;0
Oostelijk Havengebied - Indische Buurt;5.237.007;493.717;Entire home/apt;390;3;42;0;6
IJburg - Zeeburgereiland;5.235.293;500.111;Entire home/apt;134;7;19;0;0
Noord-Oost;5.239.698;493.907;Private room;95;2;31;0;0
De Baarsjes - Oud-West;5.235.999;485.488;Private room;70;3;0;0;0
Oud-Noord;5.239.898;490.643;Private room;129;3;136;2;20
IJburg - Zeeburgereiland;5.234.874;501.193;Entire home/apt;220;5;1;232;0
De Pijp - Rivierenbuurt;5.234.406;489.151;Entire home/apt;266;2;3;46;3
Centrum-Oost;5.236.804;489.773;Entire home/apt;388;3;344;69;73
De Pijp - Rivierenbuurt;5.235.717;489.633;Private room;117;2;339;14;60
De Pijp - Rivierenbuurt;5.234.483;489.754;Entire home/apt;271;3;27;0;6
De Pijp - Rivierenbuurt;5.234.917;489.479;Entire home/apt;279;3;11;0;5
Centrum-Oost;5.235.966;48.924;Entire home/apt;118;2;52;0;0
Oud-Noord;5.239.159;490.806;Entire home/apt;159;3;25;0;0
IJburg - Zeeburgereiland;5.235.445;500.447;Entire home/apt;542;2;76;159;8
Oud-Noord;5.239.086;493.373;Entire home/apt;225;5;16;316;4
De Baarsjes - Oud-West;5.236.265;485.688;Entire home/apt;150;2;25;0;1
De Pijp - Rivierenbuurt;5.235.009;488.875;Entire home/apt;150;28;54;0;0
Oud-Oost;5.236.602;493.165;Entire home/apt;230;3;14;0;4
IJburg - Zeeburgereiland;5.235.814;499.973;Entire home/apt;260;3;24;117;11
De Baarsjes - Oud-West;5.235.923;485.851;Entire home/apt;140;3;8;0;0
Westerpark;5.238.758;488.309;Private room;120;3;80;57;16
Centrum-West;5.237.692;488.733;Entire home/apt;393;5;19;36;0
Centrum-Oost;5.236.874;493.106;Entire home/apt;169;2;84;14;12
IJburg - Zeeburgereiland;5.237.556;496.829;Private room;104;3;130;28;6
Centrum-West;5.237.726;488.119;Entire home/apt;131;2;77;7;16
Gaasperdam - Driemond;5.230.515;497.914;Entire home/apt;100;30;45;311;0
De Baarsjes - Oud-West;5.236.351;486.178;Entire home/apt;110;3;15;1;0
Noord-Oost;5.239.591;493.914;Private room;115;2;0;0;0
Westerpark;5.239.079;48.811;Entire home/apt;150;2;11;0;4
De Pijp - Rivierenbuurt;523.545;489.119;Entire home/apt;300;11;41;36;4
Westerpark;5.238.273;486.319;Entire home/apt;150;2;40;0;0
Noord-West;5.240.916;490.137;Entire home/apt;75;21;14;0;0
Slotervaart;5.235.818;482.719;Entire home/apt;361;3;48;1;11
IJburg - Zeeburgereiland;5.235.436;500.273;Entire home/apt;286;3;85;326;34
De Baarsjes - Oud-West;5.236.944;48.634;Entire home/apt;275;2;25;0;2
De Baarsjes - Oud-West;5.237.169;485.677;Entire home/apt;119;2;27;0;4
Centrum-West;5.238.328;488.591;Private room;280;3;148;294;26
Centrum-Oost;5.237.472;490.784;Private room;250;1;155;117;40
Centrum-Oost;5.236.283;490.966;Entire home/apt;220;3;10;0;2
Oostelijk Havengebied - Indische Buurt;5.237.528;492.351;Entire home/apt;250;4;11;0;1
Centrum-West;5.236.952;488.557;Private room;201;2;241;242;60
Oud-Noord;5.238.343;491.061;Entire home/apt;199;2;27;0;1
Noord-West;5.241.868;490.114;Entire home/apt;218;7;15;98;5
De Baarsjes - Oud-West;523.585;48.551;Entire home/apt;275;3;20;0;5
Oud-Oost;5.235.909;492.099;Entire home/apt;300;4;2;0;0
Zuid;523.514;485.081;Private room;97;1;255;38;71
Bos en Lommer;523.758;485.221;Entire home/apt;206;2;28;0;6
Watergraafsmeer;5.235.503;493.193;Entire home/apt;360;3;17;0;3
Noord-West;5.241.928;490.233;Entire home/apt;219;2;39;154;7
Zuid;5.235.432;487.868;Entire home/apt;80;2;29;0;19
Centrum-Oost;5.236.955;49.128;Entire home/apt;99;2;5;0;0
IJburg - Zeeburgereiland;5.235.458;500.228;Entire home/apt;180;21;6;0;0
De Baarsjes - Oud-West;5.236.678;487.336;Entire home/apt;145;2;33;0;6
Gaasperdam - Driemond;5.230.448;497.025;Entire home/apt;135;14;5;154;2
De Pijp - Rivierenbuurt;5.235.016;489.181;Entire home/apt;190;5;17;11;0
Slotervaart;523.532;483.048;Entire home/apt;180;3;22;0;1
Centrum-West;5.237.699;487.754;Private room;116;1;159;219;5
Centrum-West;5.238.304;488.376;Private room;130;3;27;49;5
Centrum-West;5.237.126;488.618;Private room;245;2;102;269;34
De Pijp - Rivierenbuurt;5.234.697;489.606;Entire home/apt;145;7;17;0;1
